video_id,bill,kind,observed_start,observed_end,notes,marked_on
AbQKalFVb9U,HB122,public hearing,954.0,1763.0,,2026-09-05
AbQKalFVb9U,HB64,public hearing,2038.0,4170.0,,2026-09-05
AbQKalFVb9U,HR11,public hearing,12897.0,17596.0,,2026-09-05
AbQKalFVb9U,HCR9,public hearing,17622.0,20327.0,,2026-09-05
C6YkO_S7nmg,HB113,executive session,277.0,393.0,,2026-09-05
C6YkO_S7nmg,HB127,executive session,394.0,955.0,,2026-09-05
C6YkO_S7nmg,HB174,executive session,957.0,1320.0,,2026-09-05
C6YkO_S7nmg,HB203,executive session,1322.0,1634.0,,2026-09-05
C6YkO_S7nmg,HB332,executive session,1636.0,2080.0,,2026-09-05
C6YkO_S7nmg,HB334,executive session,2085.0,2293.0,,2026-09-05
C6YkO_S7nmg,HB393,executive session,2294.0,2585.0,,2026-09-05
C6YkO_S7nmg,HB422,executive session,2589.0,2883.0,,2026-09-05
C6YkO_S7nmg,HB449,executive session,2890.0,3040.0,,2026-09-05
C6YkO_S7nmg,HB513,executive session,3055.0,3274.0,,2026-09-05
EyOi37y9mNU,HB116,public hearing,18900.0,22090.0,,2026-09-05
EyOi37y9mNU,HB184,public hearing,22220.0,25509.0,,2026-09-05
JEMJeKRBmKM,HB577,public hearing,262.0,3050.0,,2026-09-05
JEMJeKRBmKM,HB685,public hearing,3697.0,5330.0,,2026-09-05
JEMJeKRBmKM,HB459,public hearing,11864.0,14063.0,,2026-09-05
K2KXtfeW5Zs,HB67,public hearing,1394.0,3820.0,,2026-09-05
K2KXtfeW5Zs,HB261,public hearing,3820.0,4053.0,,2026-09-05
K2KXtfeW5Zs,HB340,public hearing,4053.0,5509.0,,2026-09-05
K2KXtfeW5Zs,HB160,public hearing,5675.0,6907.0,,2026-09-05
K2KXtfeW5Zs,HB160,executive session,8450.0,8919.0,,2026-09-05
K2KXtfeW5Zs,HB261,executive session,9055.0,9305.0,,2026-09-05
LJtnllAy6o4,HB193,executive session,1059.0,1400.0,,2026-09-05
LJtnllAy6o4,HB295,executive session,1473.0,1843.0,,2026-09-05
LJtnllAy6o4,HB494,executive session,1857.0,2364.0,,2026-09-05
LJtnllAy6o4,HB515,executive session,2368.0,2780.0,,2026-09-05
LJtnllAy6o4,HB716,executive session,2800.0,3918.0,,2026-09-05
LJtnllAy6o4,HB769,public hearing,4683.0,6691.0,,2026-09-05
LJtnllAy6o4,HB773,public hearing,6810.0,7814.0,,2026-09-05
gey2yTUlulY,HB84,public hearing,3417.0,5165.0,"orientation day, members had long introduction to each other and house staff",2026-09-05
gey2yTUlulY,HB86,public hearing,5250.0,5837.0,,2026-09-05
gey2yTUlulY,HB92,public hearing,5889.0,6894.0,,2026-09-05
