Town/City,Clerk,Address,Phone,Fax,E-Mail,Town Website Address,State Election Start Time - End Time,Local Election Start Time - End Time,Polling Place,Election Date-Name
ACWORTH,CHARLOTTE COMEAU,PO BOX 37 ACWORTH 03601,603-835-6879,Not Applicable,ATCLERK@SOVER.NET,WWW.ACWORTHNH.NET,,,,
ALBANY,SANDRA VIZARD,1972 NH ROUTE 16 ALBANY 03818,603-447-2877,603-447-2877,TOWNCLERK@ALBANYNH.ORG,WWW.ALBANYNH.ORG,,,,
ALEXANDRIA,FRANCINE M SKIFFINGTON,47 WASHBURN ROAD A ALEXANDRIA 03222,603-744-3288,603-744-8577,CLERKTAX@ALEXANDRIANH.GOV,WWW.ALEXANDRIANH.COM,,,,
ALLENSTOWN,JACQUELENE TATE,16 SCHOOL STREET ALLENSTOWN 03275,603-485-4276,Not Applicable,jtate@allenstownnh.gov,WWW.ALLENSTOWNNH.GOV,07:00AM - 07:00PM,08:00AM - 07:00PM,ALLENSTOWN ELEMENTARY SCHOOL 30 MAIN ST ALLENSTOWN 03275,11/03/2026-STATE GENERAL ELECTION
ALSTEAD,JULIE ANN BACON,PO BOX 65 ALSTEAD 03602,603-835-2242,603-835-2178,JBACON@ALSTEADNH.GOV,WWW.ALSTEADNH.GOV,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,TOWN HALL 9 MAIN ST ALSTEAD 03602,11/03/2026-STATE GENERAL ELECTION
ALTON,JENNIFER COLLINS,PO BOX 637 ALTON 03809,603-875-2101,603-651-0732,TOWNCLERK@ALTON.NH.GOV,WWW.ALTON.NH.GOV,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,PROSPECT MOUNTAIN HIGH SCHOOL 242 SUNCOOK VALLEY RD ALTON 03809,11/03/2026-STATE GENERAL ELECTION
AMHERST,NANCY A DEMERS,2 MAIN ST AMHERST 03031,603-673-6041,603-673-4138,NDEMERS@AMHERSTNH.GOV,WWW.AMHERSTNH.GOV,6:00 AM - 8:00 PM,6:00 AM - 8:00 PM,SOUHEGAN HIGH SCHOOL 412 BOSTON POST RD AMHERST 03031,11/03/2026-STATE GENERAL ELECTION
ANDOVER,LISA R MEIER,PO BOX 361 ANDOVER 03216,603-735-4141,603-735-6975,TCTC@ANDOVER-NH.GOV,WWW.ANDOVER-NH.GOV,,,,
ANTRIM,ANN GILBERT,PO BOX 517 ANTRIM 03440,603-588-6785,603-588-2969,townclerk@antrimnh.gov,WWW.ANTRIMNH.ORG,,,,
ASHLAND,REBECCA L HARTLEY,PO BOX 517 ASHLAND 03217,603-968-4432,603-968-3776,TOWNOFFICE@ASHLAND.NH.GOV,WWW.ASHLAND.NH.GOV,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,WILLIAM J. TIRONE GYMNASIUM 27 HIGHLAND ST ASHLAND 03217,11/03/2026-STATE GENERAL ELECTION
ATKINSON,JULIANNA CAMILLE HALE,19 ACADEMY AVE ATKINSON 03811,603-362-4920,603-362-5305,CLERKTAX@ATKINSON-NH.GOV,WWW.TOWN-ATKINSONNH.COM,,,,
AT.& GIL. AC. GT.,DONNA M DEMERS,po box 100 AT.& GIL. AC. GT. 03579,603-482-3351,Not Applicable,ERROLTOWNCLERK@GMAIL.COM,Not Applicable,8:00 AM - 7:00 PM,11:00 AM - 7:00 PM,ERROL TOWN HALL 33 DUMONT ST AT.& GIL. AC. GT. 03576,11/03/2026-STATE GENERAL ELECTION
AUBURN,CAITLYN MARY FOLIA,47 CHESTER RD AUBURN 03032,603-483-2281,603-483-0518,TOWNCLERK@TOWNOFAUBURNNH.COM,AUBURNNH.US,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,AUBURN VILLAGE SCHOOL 11 EATON HILL RD AUBURN 03032,11/03/2026-STATE GENERAL ELECTION
BARNSTEAD,JESSIE L FIFIELD,PO BOX 11 BARNSTEAD 03225,603-269-4071,Not Applicable,JFIFIELD@BARNSTEAD.ORG,WWW.BARNSTEAD.ORG,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,BARNSTEAD ELEMENTARY SCHOOL 91 MAPLE ST BARNSTEAD 03225,11/03/2026-STATE GENERAL ELECTION
BARRINGTON,KIMBERLY KEREKES,PO BOX 660 BARRINGTON 03825,603-664-5476,Not Applicable,KKEREKES@BARRINGTON.NH.GOV,WWW.BARRINGTON.NH.GOV,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,BARRINGTON MIDDLE SCHOOL 51 HALEY DR BARRINGTON 03825,11/03/2026-STATE GENERAL ELECTION
BARTLETT,CHERYL NEALLEY,56 TOWN HALL ROAD BARTLETT 03845,603-356-2300,603-356-2300,TOWNCLERK@TOWNOFBARTLETT.NH.GOV,WWW.BARTLETTNH.ORG,,,,
BATH,CARRIE C VOGT,PO BOX 88 BATH 03740,603-747-2454,603-747-0497,Not Applicable,BATH-NH.ORG,8:00 AM - 7:00 PM,-,BATH FIRE STATION 19 RUM HILL RD BATH 03740,11/03/2026-STATE GENERAL ELECTION
BEAN'S GRANT,CHRISTINA ZORNIO,20 PARK ST BEAN'S GRANT 03581,603-466-2744,603-466-2744,CZORNIO@GORHAMNH.ORG,Not Applicable,8:00 AM - 7:00 PM,-,GORHAM TOWN HALL 20 PARK STREET GORHAM - FOR POLLING LOCATION ONLY BEAN'S GRANT 03581,11/03/2026-STATE GENERAL ELECTION
BEAN'S PURCHASE,LEONA KEALTY,74 VILLAGE RD BEAN'S PURCHASE 03581,603-466-2262,603-466-5271,TCTX@TOWNOFSHELBURNENH.GOV,Not Applicable,,,,
BEDFORD,WILLIAM P CARTER,24 NORTH AMHERST RD BEDFORD 03110,603-792-1306,603-472-4573,WCARTER@BEDFORDNH.GOV,WWW.BEDFORDNH.ORG,,,,
BELMONT,JENNIFER CASHMAN,PO BOX 310 BELMONT 03220,603-267-8300,603-267-8305,TCTC@BELMONTNH.GOV,WWW.BELMONTNH.GOV,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,BELMONT HIGH SCHOOL 255 SEAVEY RD BELMONT 03220,11/03/2026-STATE GENERAL ELECTION
BENNINGTON,DEBRA L BELCHER,7 SCHOOL STREET 101 BENNINGTON 03442,603-588-2189,603-588-8005,TOWNCLERK@TOWNOFBENNINGTON.COM,TOWNOFBENNINGTON.COM/,,,,
BENTON,MICHAEL P STIEBITZ,110 FLANDERS ROAD BENTON 03785,603-787-6541,Not Applicable,MSTIEBITZ@ATT.NET,HTTPS://WWW.TOBENTONNH.ORG/,11:00 AM - 7:00 PM,07:00 PM - 09:00 PM,BENTON TOWN BUILDING 221 COVENTRY RD BENTON 03785,11/03/2026-STATE GENERAL ELECTION
BERLIN WARD 01,SHELLI A FORTIN,168 MAIN STREET BERLIN 03570,603-752-2340,603-752-8586,SFORTIN@BERLINNH.GOV,WWW.BERLINNH.GOV,08:00 AM - 07:00 PM,08:00 AM - 07:00 PM,BERLIN RECREATION CENTER 672 FIRST AVE BERLIN 03570,11/03/2026-STATE GENERAL ELECTION
BERLIN WARD 03,SHELLI A FORTIN,168 MAIN STREET BERLIN 03570,603-752-2340,603-752-8586,SFORTIN@BERLINNH.GOV,WWW.BERLINNH.GOV,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,VFW 1107 MAIN ST BERLIN 03570,11/03/2026-STATE GENERAL ELECTION
BETHLEHEM,MARY E JACKSON,PO BOX 185 BETHLEHEM 03574,603-869-2293,603-869-5500,MARYJACKSON@BETHLEHEMNH.GOV,BETHLEHEMNH.ORG,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,BETHLEHEM TOWN HALL 2155 MAIN ST BETHLEHEM 03574,11/03/2026-STATE GENERAL ELECTION
