bill,body,committee,proceeding,sched_date,sched_time,venue,tier,bills_in_slot,match,video_id,video_title,stream_start,predicted_offset,watch_url,candidates,observed_start,observed_end,notes
SB11,S,Energy and Natural Resources,hearing,2023-01-10,09:00,SH 103,A-unique-slot,1,single video,frRNLJNguJM,Senate Energy and Natural Resources (01/10/23),08:58:12,0:01:48,https://www.youtube.com/watch?v=frRNLJNguJM&t=0s,,,,
SB22,S,Commerce,hearing,2023-01-10,09:00,SH 100,A-unique-slot,1,single video,IRFshA0KXGk,Senate Commerce (01/10/23),08:59:46,0:00:14,https://www.youtube.com/watch?v=IRFshA0KXGk&t=0s,,,,
SB24,S,Education,hearing,2023-01-10,09:00,LOB 101,A-unique-slot,1,single video,IQxxsYu9rPw,Senate Education (01/10/23),08:58:07,0:01:53,https://www.youtube.com/watch?v=IQxxsYu9rPw&t=0s,,,,
SB13,S,Energy and Natural Resources,hearing,2023-01-10,09:15,SH 103,A-unique-slot,1,single video,frRNLJNguJM,Senate Energy and Natural Resources (01/10/23),08:58:12,0:16:48,https://www.youtube.com/watch?v=frRNLJNguJM&t=708s,,,,
SB31,S,Commerce,hearing,2023-01-10,09:15,SH 100,A-unique-slot,1,single video,IRFshA0KXGk,Senate Commerce (01/10/23),08:59:46,0:15:14,https://www.youtube.com/watch?v=IRFshA0KXGk&t=614s,,,,
SB39,S,Education,hearing,2023-01-10,09:15,LOB 101,A-unique-slot,1,single video,IQxxsYu9rPw,Senate Education (01/10/23),08:58:07,0:16:53,https://www.youtube.com/watch?v=IQxxsYu9rPw&t=713s,,,,
SB14,S,Energy and Natural Resources,hearing,2023-01-10,09:30,SH 103,A-unique-slot,1,single video,frRNLJNguJM,Senate Energy and Natural Resources (01/10/23),08:58:12,0:31:48,https://www.youtube.com/watch?v=frRNLJNguJM&t=1608s,,,,
SB23,S,Commerce,hearing,2023-01-10,09:30,SH 100,A-unique-slot,1,single video,IRFshA0KXGk,Senate Commerce (01/10/23),08:59:46,0:30:14,https://www.youtube.com/watch?v=IRFshA0KXGk&t=1514s,,,,
SB25,S,Education,hearing,2023-01-10,09:30,LOB 101,A-unique-slot,1,single video,IQxxsYu9rPw,Senate Education (01/10/23),08:58:07,0:31:53,https://www.youtube.com/watch?v=IQxxsYu9rPw&t=1613s,,,,
SB15,S,Energy and Natural Resources,hearing,2023-01-10,09:45,SH 103,A-unique-slot,1,single video,frRNLJNguJM,Senate Energy and Natural Resources (01/10/23),08:58:12,0:46:48,https://www.youtube.com/watch?v=frRNLJNguJM&t=2508s,,,,
SB37,S,Commerce,hearing,2023-01-10,09:45,SH 100,A-unique-slot,1,single video,IRFshA0KXGk,Senate Commerce (01/10/23),08:59:46,0:45:14,https://www.youtube.com/watch?v=IRFshA0KXGk&t=2414s,,,,
SB21,S,Commerce,hearing,2023-01-10,10:00,SH 100,A-unique-slot,1,single video,IRFshA0KXGk,Senate Commerce (01/10/23),08:59:46,1:00:14,https://www.youtube.com/watch?v=IRFshA0KXGk&t=3314s,,,,
HB101,H,Election Law,public hearing,2023-01-10,13:00,LOB 306-308,A-unique-slot,1,single video,NZqO3sqwD0Q,House Election Law (01/10/23),09:58:46,3:01:14,https://www.youtube.com/watch?v=NZqO3sqwD0Q&t=10574s,,,,
HB124,H,Children and Family Law,public hearing,2023-01-10,13:00,LOB 206-208,A-unique-slot,1,single video,ws_4cUe5uz0,House Children and Family Law (01/10/23),10:14:22,2:45:38,https://www.youtube.com/watch?v=ws_4cUe5uz0&t=9638s,,,,
SB29,S,Judiciary,hearing,2023-01-10,13:00,SH 100,A-unique-slot,1,single video,k6fdkYo6BWk,Senate Judiciary (01/10/23),12:57:22,0:02:38,https://www.youtube.com/watch?v=k6fdkYo6BWk&t=0s,,,,
SB27,S,Judiciary,hearing,2023-01-10,13:10,SH 100,A-unique-slot,1,single video,k6fdkYo6BWk,Senate Judiciary (01/10/23),12:57:22,0:12:38,https://www.youtube.com/watch?v=k6fdkYo6BWk&t=458s,,,,
HB85,H,Children and Family Law,public hearing,2023-01-10,13:30,LOB 206-208,A-unique-slot,1,single video,ws_4cUe5uz0,House Children and Family Law (01/10/23),10:14:22,3:15:38,https://www.youtube.com/watch?v=ws_4cUe5uz0&t=11438s,,,,
SB38,S,Judiciary,hearing,2023-01-10,13:30,SH 100,A-unique-slot,1,single video,k6fdkYo6BWk,Senate Judiciary (01/10/23),12:57:22,0:32:38,https://www.youtube.com/watch?v=k6fdkYo6BWk&t=1658s,,,,
HB200,H,Children and Family Law,public hearing,2023-01-10,13:45,LOB 206-208,A-unique-slot,1,single video,ws_4cUe5uz0,House Children and Family Law (01/10/23),10:14:22,3:30:38,https://www.youtube.com/watch?v=ws_4cUe5uz0&t=12338s,,,,
SB26,S,Judiciary,hearing,2023-01-10,13:45,SH 100,A-unique-slot,1,single video,k6fdkYo6BWk,Senate Judiciary (01/10/23),12:57:22,0:47:38,https://www.youtube.com/watch?v=k6fdkYo6BWk&t=2558s,,,,
