video_id,title,title_parsed,parsed_committee,parsed_date,has_start_time,start_eastern,actual_start_utc,actual_end_utc,duration_iso,published_at
itJRViVSJqk,House Session (01/07/2026),yes,Session,2026-01-07,yes,2026-01-07 10:00:57,2026-01-07T15:00:57Z,2026-01-08T00:10:52Z,PT9H9M51S,2026-01-08T00:32:19Z
W-x7boYfqtM,House Session (01/08/2026),yes,Session,2026-01-08,yes,2026-01-08 08:59:06,2026-01-08T13:59:06Z,2026-01-08T21:34:12Z,PT7H34M49S,2026-01-08T21:53:53Z
maO9FgPtnGY,House Education Policy and Administration (01/12/2026),yes,Education Policy and Administration,2026-01-12,yes,2026-01-12 09:57:56,2026-01-12T14:57:56Z,2026-01-12T19:36:00Z,PT4H38M6S,2026-01-12T19:50:53Z
_Q6iZrbNVcQ,House Ways and Means (01/12/2026),yes,Ways and Means,2026-01-12,yes,2026-01-12 10:03:16,2026-01-12T15:03:16Z,2026-01-12T20:20:31Z,PT5H17M26S,2026-01-12T20:34:05Z
J2BymHDk9BU,House Ways and Means (01/12/2026) (Full Stream),yes,Ways and Means,2026-01-12,yes,2026-01-12 09:54:36,2026-01-12T14:54:36Z,2026-01-12T20:20:29Z,PT5H26M6S,2026-01-12T20:42:10Z
Yim31_or0Rk,Capital Project Overview Committee (1/12/2026),yes,Capital Project Overview Committee,2026-01-12,yes,2026-01-12 08:58:47,2026-01-12T13:58:47Z,2026-01-12T14:29:37Z,PT31M6S,2026-01-13T02:32:43Z
XKabbuZctkw,Long Range Capital Planning and Utilization Committee (1/12/2026),yes,Long Range Capital Planning and Utilization Committee,2026-01-12,yes,2026-01-12 09:30:27,2026-01-12T14:30:27Z,2026-01-12T15:18:25Z,PT48M6S,2026-01-13T03:34:47Z
fsVpmOa4xSM,House Transportation (01/13/2026),yes,Transportation,2026-01-13,yes,2026-01-13 09:56:01,2026-01-13T14:56:01Z,2026-01-13T19:32:06Z,PT4H36M21S,2026-01-13T19:43:37Z
7_Q5-2c-OZQ,House Children and Family Law (01/13/2026),yes,Children and Family Law,2026-01-13,yes,2026-01-13 09:59:56,2026-01-13T14:59:56Z,2026-01-13T19:49:31Z,PT4H49M34S,2026-01-13T20:02:14Z
Uytjm-LUrE0,House Municipal and County Government (01/13/2026),yes,Municipal and County Government,2026-01-13,yes,2026-01-13 09:30:12,2026-01-13T14:30:12Z,2026-01-13T20:16:33Z,PT5H46M21S,2026-01-13T20:33:18Z
W9AMAi3LfCQ,House Environment and Agriculture (01/13/2026),yes,Environment and Agriculture,2026-01-13,yes,2026-01-13 08:55:31,2026-01-13T13:55:31Z,2026-01-13T20:26:56Z,PT6H31M29S,2026-01-13T20:42:43Z
Wo-pqTcM11U,House Committee on Housing (01/13/2026),yes,Committee on Housing,2026-01-13,yes,2026-01-13 08:55:37,2026-01-13T13:55:37Z,2026-01-13T20:49:33Z,PT6H53M56S,2026-01-13T21:05:35Z
KW1jJ_ykCqU,"House Science, Technology and Energy (01/13/2026)",yes,"Science, Technology and Energy",2026-01-13,yes,2026-01-13 09:55:51,2026-01-13T14:55:51Z,2026-01-13T20:59:43Z,PT6H3M43S,2026-01-13T21:13:50Z
j1fShuyoDBw,"House Labor, Industrial and Rehabilitative Services (01/13/2026)",yes,"Labor, Industrial and Rehabilitative Services",2026-01-13,yes,2026-01-13 09:58:47,2026-01-13T14:58:47Z,2026-01-13T21:24:03Z,PT6H25M8S,2026-01-13T21:46:23Z
0quD4648pEg,House Public Works and Highways (01/13/2026),yes,Public Works and Highways,2026-01-13,yes,2026-01-13 09:59:56,2026-01-13T14:59:56Z,2026-01-13T17:35:23Z,PT2H35M25S,2026-01-14T06:18:00Z
ijeipsfxf7Q,House Executive Departments and Administration (01/14/2026),yes,Executive Departments and Administration,2026-01-14,yes,2026-01-14 09:55:22,2026-01-14T14:55:22Z,2026-01-14T20:25:36Z,PT5H30M16S,2026-01-14T20:37:59Z
ghE2NCcfbLw,"House Health, Human Services and Elderly Affairs (01/14/2026)",yes,"Health, Human Services and Elderly Affairs",2026-01-14,yes,2026-01-14 08:58:46,2026-01-14T13:58:46Z,2026-01-14T20:23:35Z,PT6H24M49S,2026-01-14T20:41:03Z
UlmXLDv0mTE,House Education Policy and Administration (01/14/2026),yes,Education Policy and Administration,2026-01-14,yes,2026-01-14 09:55:26,2026-01-14T14:55:26Z,2026-01-14T21:06:31Z,PT6H11M11S,2026-01-14T21:20:37Z
Ig3cpc-N1Rg,House Judiciary (01/14/2026),yes,Judiciary,2026-01-14,yes,2026-01-14 08:58:51,2026-01-14T13:58:51Z,2026-01-14T21:09:18Z,PT7H10M15S,2026-01-14T21:26:57Z
kdDHme1JH-c,"House Resources, Recreation and Development (01/14/2026)",yes,"Resources, Recreation and Development",2026-01-14,yes,2026-01-14 09:58:42,2026-01-14T14:58:42Z,2026-01-14T21:28:48Z,PT6H30M10S,2026-01-14T21:44:47Z
58LimvT99OU,"House Science, Technology and Energy (01/14/2026)",yes,"Science, Technology and Energy",2026-01-14,yes,2026-01-14 09:55:21,2026-01-14T14:55:21Z,2026-01-14T21:32:17Z,PT6H37M6S,2026-01-14T21:52:47Z
