video_id,title,title_parsed,parsed_committee,parsed_date,date_from,has_start_time,start_eastern,actual_start_utc,actual_end_utc,duration_iso,published_at
aGYjflH3B-o,JLCAR Administrative Rules (07/16/2026),yes,JLCAR Administrative Rules,2026-07-16,title,yes,2026-07-16 08:55:26,2026-07-16T12:55:26Z,2026-07-16T14:48:40Z,PT1H53M20S,2026-07-17T03:54:03Z
s9cOGcjUAPQ,Carbon Sequestration Programs Study Commission (08/07/2026),yes,Carbon Sequestration Programs Study Commission,2026-08-07,title,yes,2026-08-07 09:58:37,2026-08-07T13:58:37Z,2026-08-07T15:56:18Z,PT1H57M51S,2026-08-08T04:11:53Z
c7AMIxUJIGk,Inside New Hampshire's Golden Dome,NO,,,title,NO,,,,PT4M10S,2026-08-17T18:41:34Z
fcLh1vzVCTM,Legislative Oversight Committee for the Education Improvement and Assessment Program (08/17/2026),yes,Legislative Oversight Committee for the Education Improvement and Assessment Program,2026-08-17,title,yes,2026-08-17 12:58:54,2026-08-17T16:58:54Z,2026-08-17T18:46:43Z,PT1H47M56S,2026-08-18T06:52:46Z
waDXsnFGDgc,House Session (08/19/2026),yes,Session,2026-08-19,title,yes,2026-08-19 09:55:57,2026-08-19T13:55:57Z,2026-08-19T19:38:25Z,PT5H42M41S,2026-08-19T19:53:10Z
nNYcP9NXBs8,JLCAR Administrative Rules (09/17/2026),yes,JLCAR Administrative Rules,2026-09-17,title,NO,,,,P0D,2026-08-20T13:16:12Z
gtBanABXiIc,JLCAR Administrative Rules (08/20/2026),yes,JLCAR Administrative Rules,2026-08-20,title,yes,2026-08-20 08:58:11,2026-08-20T12:58:11Z,2026-08-20T13:13:03Z,PT15M1S,2026-08-21T01:18:40Z
qYTXGQYaj8k,Fiscal Committee (09/18/2026),yes,Fiscal Committee,2026-09-18,title,NO,,,,P0D,2026-08-21T15:51:31Z
ZmmcjnWf7Oo,Fiscal Committee (08/21/2026),yes,Fiscal Committee,2026-08-21,title,yes,2026-08-21 10:55:26,2026-08-21T14:55:26Z,2026-08-21T15:50:18Z,PT55M1S,2026-08-22T03:59:40Z
QL2L__nGfQQ,Health and Human Services Oversight Committee (08/28/2026),yes,Health and Human Services Oversight Committee,2026-08-28,title,yes,2026-08-28 09:28:46,2026-08-28T13:28:46Z,2026-08-28T15:42:18Z,PT2H13M41S,2026-08-29T03:57:57Z
m7k5737hIfg,House Criminal Justice and Public Safety (09/02/2026),yes,Criminal Justice and Public Safety,2026-09-02,title,yes,2026-09-02 09:58:11,2026-09-02T13:58:11Z,2026-09-02T14:21:56Z,PT24M6S,2026-09-03T02:31:01Z
g9aJsyISers,Committee to Study HB 1763 - Rules Regarding IDD and ABD Community Residences (09/02/2026),yes,Committee to Study HB 1763 - Rules Regarding IDD and ABD Community Residences,2026-09-02,title,yes,2026-09-02 09:58:51,2026-09-02T13:58:51Z,2026-09-02T16:34:25Z,PT2H35M46S,2026-09-03T05:03:48Z
USP0fFP6gNg,Cyanobacteria Mitigation Loan and Grant Fund Task Force (09/04/2026),yes,Cyanobacteria Mitigation Loan and Grant Fund Task Force,2026-09-04,title,yes,2026-09-04 12:58:41,2026-09-04T16:58:41Z,2026-09-04T18:32:47Z,PT1H34M21S,2026-09-05T06:44:31Z
