video_id,title,title_parsed,parsed_committee,parsed_date,has_start_time,start_eastern,actual_start_utc,actual_end_utc,duration_iso,published_at
C21XWH3aL6w,Senate Session (01/08/2025),yes,Session,2025-01-08,yes,2025-01-08 09:59:01,2025-01-08T14:59:01Z,2025-01-08T15:38:11Z,PT39M20S,2025-01-09T03:42:29Z
9giS8ThpiJ0,Senate Session (01/09/2025),yes,Session,2025-01-09,yes,2025-01-09 11:29:11,2025-01-09T16:29:11Z,2025-01-09T18:12:44Z,PT1H43M46S,2025-01-10T06:20:18Z
Q19k2JvuKPk,Senate Commerce (01/09/2025),yes,Commerce,2025-01-09,yes,2025-01-09 13:30:06,2025-01-09T18:30:06Z,2025-01-09T18:49:21Z,PT19M25S,2025-01-10T06:51:38Z
7Ga4fl3R5uY,Senate Election Law and Municipal Affairs (01/14/2025),yes,Election Law and Municipal Affairs,2025-01-14,yes,2025-01-14 09:28:36,2025-01-14T14:28:36Z,2025-01-14T15:38:03Z,PT1H9M16S,2025-01-15T03:46:12Z
DvCMqPXbBb4,Senate Commerce (01/14/2025),yes,Commerce,2025-01-14,yes,2025-01-14 09:29:35,2025-01-14T14:29:35Z,2025-01-14T16:13:56Z,PT1H45M6S,2025-01-15T04:24:16Z
Rc7vhBIwfHg,Senate Children and Family Law (01/14/2025),yes,Children and Family Law,2025-01-14,yes,2025-01-14 10:59:06,2025-01-14T15:59:06Z,2025-01-14T16:39:45Z,PT40M51S,2025-01-15T04:44:40Z
2czQXeaRrAs,Senate Finance (01/14/2025),yes,Finance,2025-01-14,yes,2025-01-14 12:59:06,2025-01-14T17:59:06Z,2025-01-14T19:17:38Z,PT1H18M45S,2025-01-15T07:25:33Z
ZJ5gmYKzEzI,Senate Judiciary (01/14/2025),yes,Judiciary,2025-01-14,yes,2025-01-14 12:59:07,2025-01-14T17:59:07Z,2025-01-14T20:07:55Z,PT2H9M6S,2025-01-15T08:17:35Z
fn3dD5xbTQs,Senate Executive Departments and Administration (01/15/2025),yes,Executive Departments and Administration,2025-01-15,yes,2025-01-15 08:59:06,2025-01-15T13:59:06Z,2025-01-15T15:49:25Z,PT1H50M36S,2025-01-16T03:57:08Z
F1vva9xsvwE,Senate Health and Human Services (01/15/2025),yes,Health and Human Services,2025-01-15,yes,2025-01-15 08:57:41,2025-01-15T13:57:41Z,2025-01-15T16:01:51Z,PT2H4M10S,2025-01-16T04:10:55Z
dIHZPwJF-LY,Senate Election Law and Municipal Affairs (01/21/2025),yes,Election Law and Municipal Affairs,2025-01-21,yes,2025-01-21 09:19:02,2025-01-21T14:19:02Z,2025-01-21T15:18:43Z,PT59M56S,2025-01-22T03:23:50Z
pfED3lsrx-w,Senate Education (01/21/2025),yes,Education,2025-01-21,yes,2025-01-21 08:59:02,2025-01-21T13:59:02Z,2025-01-21T15:28:23Z,PT1H29M36S,2025-01-22T03:33:33Z
2IxqJ1_33Fg,Senate Executive Departments and Administration (01/22/2025),yes,Executive Departments and Administration,2025-01-22,yes,2025-01-22 09:29:02,2025-01-22T14:29:02Z,2025-01-22T15:06:15Z,PT37M21S,2025-01-23T03:08:25Z
KYXrRxs47-Y,Senate Health and Human Services (01/22/2025),yes,Health and Human Services,2025-01-22,yes,2025-01-22 08:59:06,2025-01-22T13:59:06Z,2025-01-22T16:47:19Z,PT2H48M25S,2025-01-23T05:06:39Z
l33JiY5sG_0,Senate Commerce (01/23/2025),yes,Commerce,2025-01-23,yes,2025-01-23 09:28:36,2025-01-23T14:28:36Z,2025-01-23T16:20:01Z,PT1H51M36S,2025-01-24T04:25:23Z
8f2Dy3W8oys,Senate Judiciary (01/23/2025),yes,Judiciary,2025-01-23,yes,2025-01-23 12:59:27,2025-01-23T17:59:27Z,2025-01-23T20:33:48Z,PT2H34M30S,2025-01-24T08:58:45Z
tQkxddf3TMI,Senate Energy and Natural Resources (01/28/2025),yes,Energy and Natural Resources,2025-01-28,yes,2025-01-28 08:59:06,2025-01-28T13:59:06Z,2025-01-28T16:02:53Z,PT2H3M56S,2025-01-29T04:13:41Z
_cyYO00ZQSI,Senate Commerce (01/28/2025),yes,Commerce,2025-01-28,yes,2025-01-28 09:28:21,2025-01-28T14:28:21Z,2025-01-28T16:38:47Z,PT2H10M33S,2025-01-29T05:13:58Z
pg0dXCXeAeg,Senate Education (01/28/2025),yes,Education,2025-01-28,yes,2025-01-28 08:58:41,2025-01-28T13:58:41Z,2025-01-28T16:41:03Z,PT2H42M21S,2025-01-29T05:21:16Z
fy_hRnVeV4I,Senate Transportation (01/28/2025),yes,Transportation,2025-01-28,yes,2025-01-28 12:59:07,2025-01-28T17:59:07Z,2025-01-28T19:33:40Z,PT1H34M46S,2025-01-29T07:42:26Z
qoM-cba8uKo,Senate Finance (01/28/2025),yes,Finance,2025-01-28,yes,2025-01-28 13:14:01,2025-01-28T18:14:01Z,2025-01-28T20:24:10Z,PT2H10M20S,2025-01-29T08:34:08Z
5s7lOt9MoCg,Senate Judiciary (01/28/2025),yes,Judiciary,2025-01-28,yes,2025-01-28 12:59:12,2025-01-28T17:59:12Z,2025-01-28T20:41:44Z,PT2H42M46S,2025-01-29T09:06:57Z
Akn50CsRleI,Senate Ways and Means (01/29/2025),yes,Ways and Means,2025-01-29,yes,2025-01-29 08:59:16,2025-01-29T13:59:16Z,2025-01-29T15:43:42Z,PT1H44M15S,2025-01-30T03:49:45Z
DthH9pksEqU,Senate Executive Departments and Administration (01/28/2025),yes,Executive Departments and Administration,2025-01-28,yes,2025-01-29 08:59:31,2025-01-29T13:59:31Z,2025-01-29T15:59:12Z,PT1H59M51S,2025-01-30T04:08:47Z
GSawP0gjeeM,Senate Health and Human Services (01/29/2025),yes,Health and Human Services,2025-01-29,yes,2025-01-29 08:59:22,2025-01-29T13:59:22Z,2025-01-29T17:13:11Z,PT3H13M56S,2025-01-30T05:31:15Z
