video_id,title,title_parsed,parsed_committee,parsed_date,date_from,has_start_time,start_eastern,actual_start_utc,actual_end_utc,duration_iso,published_at
TCp4IwR9OIc,Senate Session (01/07/2026),yes,Session,2026-01-07,title,yes,2026-01-07 09:58:51,2026-01-07T14:58:51Z,2026-01-07T20:01:34Z,PT5H2M45S,2026-01-07T20:12:09Z
-vjHAnQ1eXM,Senate Judiciary (01/08/2026),yes,Judiciary,2026-01-08,title,yes,2026-01-08 12:58:47,2026-01-08T17:58:47Z,2026-01-08T19:26:27Z,PT1H27M56S,2026-01-09T17:35:00Z
kKk3yCnrscQ,Senate Executive Departments and Administration (01/08/2026),yes,Executive Departments and Administration,2026-01-08,title,yes,2026-01-08 08:58:51,2026-01-08T13:58:51Z,2026-01-08T16:14:04Z,PT2H15M25S,2026-01-09T22:29:43Z
xvqgqlJM-bY,Senate Health and Human Services (01/08/2026),yes,Health and Human Services,2026-01-08,title,yes,2026-01-08 08:58:46,2026-01-08T13:58:46Z,2026-01-08T16:54:31Z,PT2H55M59S,2026-01-09T23:49:26Z
1HFTxAdaruI,Senate Energy and Natural Resources (01/08/2026),yes,Energy and Natural Resources,2026-01-08,title,yes,2026-01-08 12:58:46,2026-01-08T17:58:46Z,2026-01-08T20:45:44Z,PT2H47M6S,2026-01-10T00:14:24Z
WzhdghwrSII,Senate Energy and Natural Resources (01/13/2026),yes,Energy and Natural Resources,2026-01-13,title,yes,2026-01-13 08:58:47,2026-01-13T13:58:47Z,2026-01-13T15:12:07Z,PT1H13M31S,2026-01-14T03:24:05Z
76Ewv2R-LeQ,Senate Election Law and Municipal Affairs (01/13/2026),yes,Election Law and Municipal Affairs,2026-01-13,title,yes,2026-01-13 09:13:41,2026-01-13T14:13:41Z,2026-01-13T15:43:04Z,PT1H29M36S,2026-01-14T04:00:42Z
AcesE54Jj2Q,Senate Commerce (01/13/2026),yes,Commerce,2026-01-13,title,yes,2026-01-13 09:28:52,2026-01-13T14:28:52Z,2026-01-13T16:14:01Z,PT1H45M21S,2026-01-14T04:26:35Z
t_a8eCziuns,Senate Judiciary (01/13/2026),yes,Judiciary,2026-01-13,title,yes,2026-01-13 12:58:46,2026-01-13T17:58:46Z,2026-01-13T19:00:19Z,PT1H1M46S,2026-01-14T07:09:37Z
McBBeWkYJac,Senate Finance (01/13/2026),yes,Finance,2026-01-13,title,yes,2026-01-13 12:58:46,2026-01-13T17:58:46Z,2026-01-13T20:22:28Z,PT2H23M56S,2026-01-14T08:41:44Z
OxsQt6gGk3s,Senate Transportation (01/13/2026),yes,Transportation,2026-01-13,title,yes,2026-01-13 12:58:47,2026-01-13T17:58:47Z,2026-01-13T19:46:08Z,PT1H47M36S,2026-01-14T09:08:12Z
w_yPvmdxxbI,Senate Executive Departments and Administration (01/14/2026),yes,Executive Departments and Administration,2026-01-14,title,yes,2026-01-14 08:59:21,2026-01-14T13:59:21Z,2026-01-14T20:11:04Z,PT6H11M51S,2026-01-14T20:28:47Z
WxvJcy3L40k,Senate Health and Human Services (01/14/2026),yes,Health and Human Services,2026-01-14,title,yes,2026-01-14 08:59:16,2026-01-14T13:59:16Z,2026-01-14T21:41:56Z,PT7H42M45S,2026-01-14T21:58:54Z
h9eqnPKTcGY,Senate Ways and Means (01/14/2026),yes,Ways and Means,2026-01-14,title,yes,2026-01-14 08:59:17,2026-01-14T13:59:17Z,2026-01-14T16:41:23Z,PT2H42M14S,2026-01-15T04:50:10Z
NnLVjCypzqg,Senate Rules and Enrolled Bills (01/15/2026),yes,Rules and Enrolled Bills,2026-01-15,title,yes,2026-01-15 08:56:26,2026-01-15T13:56:26Z,2026-01-15T14:44:29Z,PT48M16S,2026-01-16T02:51:24Z
Rh3CQk89-oQ,Senate Children and Family Law (01/15/2026),yes,Children and Family Law,2026-01-15,title,yes,2026-01-15 09:55:36,2026-01-15T14:55:36Z,2026-01-15T15:50:07Z,PT54M17S,2026-01-16T04:08:03Z
5zbs9K3ettc,Senate Energy and Natural Resources (01/15/2026),yes,Energy and Natural Resources,2026-01-15,title,yes,2026-01-15 12:57:06,2026-01-15T17:57:06Z,2026-01-15T19:19:47Z,PT1H22M51S,2026-01-16T07:36:32Z
cklU-4mIvmw,Senate Judiciary (01/15/2026),yes,Judiciary,2026-01-15,title,yes,2026-01-15 12:56:56,2026-01-15T17:56:56Z,2026-01-15T20:20:28Z,PT2H23M31S,2026-01-16T08:43:15Z
